feature_configuration,model,method,accuracy,macro_f1,mcc,auc_macro_ovr,log_loss,brier_score,ece_10,ece_15,ece_20,recall_galaxy,recall_star,recall_qso,log_loss_ci95_low,log_loss_ci95_high,brier_score_ci95_low,brier_score_ci95_high,ece_10_ci95_low,ece_10_ci95_high,ece_15_ci95_low,ece_15_ci95_high,ece_20_ci95_low,ece_20_ci95_high,accuracy_ci95_low,accuracy_ci95_high,macro_f1_ci95_low,macro_f1_ci95_high
F4,Random Forest,Raw,0.8948,0.8946011962199049,0.8424088815228268,0.9783990183333334,0.2877165153504448,0.15460995498165267,0.010392970249331729,0.010392970249331616,0.010392970249331657,0.9194,0.8575,0.9075,0.27761445295083637,0.2980424582949246,0.15072204272894985,0.1585067426227676,0.007618088022038956,0.013231711716984776,0.008115512250801864,0.013466651715847136,0.008492448035843963,0.013760452437745157,0.8913658333333333,0.8981675,0.8911376124064243,0.89799539079549
F4,Random Forest,Sigmoid,0.8947,0.8945133367666845,0.842236333114785,0.9784217591666667,0.2793092902964364,0.1543321800389135,0.00402234204524334,0.004291414378915918,0.005641124228091626,0.9189,0.8586,0.9066,0.2714507043860058,0.28679745394841677,0.1503632014717523,0.15831985260606837,0.0028787828135359178,0.007803244267250547,0.0035587285302269137,0.008371119143325813,0.004641589806951116,0.009763665713780267,0.8912658333333333,0.8980333333333334,0.8910787533233607,0.8978738693443581
F4,Random Forest,Isotonic,0.8942666666666667,0.8941090292797638,0.841563617275086,0.9784016925,0.2755817811605996,0.15430977448681116,0.0038289482573692734,0.004872194942612488,0.004373542258023507,0.919,0.8611,0.9027,0.26840275788692347,0.2824223771156823,0.15022245433715634,0.1583892258797422,0.0025213790959528358,0.007497171515761607,0.004020767056766967,0.008958236498019911,0.004189509973935346,0.008809316237845526,0.8908333333333334,0.8976666666666666,0.8906714153178332,0.8975033773032391
F7,LightGBM,Raw,0.9851,0.985097667159396,0.9776985488268181,0.9986969449999998,0.04574582212917559,0.02407071165622004,0.0003784038655673069,0.0017166325955371758,0.0012577761257421781,0.9861,0.9999,0.9693,0.04232364829072449,0.0492109833413784,0.022138140602558646,0.02599985225563721,0.00048668029579948546,0.002043155070430835,0.0012571003511002148,0.0032024645439992813,0.0011339483882224883,0.0029880765470688456,0.9837666666666667,0.9864,0.9837642430129804,0.9863982942130924
F7,LightGBM,Sigmoid,0.9851,0.9850978668148631,0.9776993799541833,0.9986964116666667,0.0457169655298201,0.024063483330601338,0.0003729048888053688,0.0018106578453005028,0.0012982117511007706,0.9862,0.9999,0.9692,0.04232336423281805,0.04913327559858504,0.022139127681166593,0.025987722768687712,0.0004641403915089785,0.0020461455984193866,0.0012187732765329327,0.0032510054672888807,0.0011444393572375485,0.003011355269021884,0.9837666666666667,0.9864333333333334,0.9837653898676636,0.9864305393482846
F7,LightGBM,Isotonic,0.9850333333333333,0.9850308633603344,0.977610439375002,0.9986670875,0.04662045318275088,0.02411460546028086,0.0005879504381125309,0.0019415047697045333,0.0015582619159871026,0.987,0.9999,0.9682,0.0425823428723604,0.05102181837179294,0.02218189884745869,0.02602964752848367,0.0004718638554676977,0.002082031697404323,0.0012780235229394696,0.003395220961088337,0.0011352998084819324,0.003156260104548488,0.9837,0.9863341666666666,0.9836964335579208,0.9863326189771533
