feature_configuration,model,method,ece_10,ece_10_ci95_low,ece_10_ci95_high,ece_15,ece_15_ci95_low,ece_15_ci95_high,ece_20,ece_20_ci95_low,ece_20_ci95_high
F4,Random Forest,Raw,0.010392970249331729,0.007618088022038956,0.013231711716984776,0.010392970249331616,0.008115512250801864,0.013466651715847136,0.010392970249331657,0.008492448035843963,0.013760452437745157
F4,Random Forest,Sigmoid,0.00402234204524334,0.0028787828135359178,0.007803244267250547,0.004291414378915918,0.0035587285302269137,0.008371119143325813,0.005641124228091626,0.004641589806951116,0.009763665713780267
F4,Random Forest,Isotonic,0.0038289482573692734,0.0025213790959528358,0.007497171515761607,0.004872194942612488,0.004020767056766967,0.008958236498019911,0.004373542258023507,0.004189509973935346,0.008809316237845526
F7,LightGBM,Raw,0.0003784038655673069,0.00048668029579948546,0.002043155070430835,0.0017166325955371758,0.0012571003511002148,0.0032024645439992813,0.0012577761257421781,0.0011339483882224883,0.0029880765470688456
F7,LightGBM,Sigmoid,0.0003729048888053688,0.0004641403915089785,0.0020461455984193866,0.0018106578453005028,0.0012187732765329327,0.0032510054672888807,0.0012982117511007706,0.0011444393572375485,0.003011355269021884
F7,LightGBM,Isotonic,0.0005879504381125309,0.0004718638554676977,0.002082031697404323,0.0019415047697045333,0.0012780235229394696,0.003395220961088337,0.0015582619159871026,0.0011352998084819324,0.003156260104548488
