feature_configuration,model,scenario,decision_rule,galaxy_prior,star_prior,qso_prior,accuracy,macro_f1,weighted_f1,mcc,precision_galaxy,precision_star,precision_qso,recall_galaxy,recall_star,recall_qso,f1_galaxy,f1_star,f1_qso,accuracy_ci95_low,accuracy_ci95_high,macro_f1_ci95_low,macro_f1_ci95_high,weighted_f1_ci95_low,weighted_f1_ci95_high,mcc_ci95_low,mcc_ci95_high,precision_galaxy_ci95_low,precision_galaxy_ci95_high,precision_star_ci95_low,precision_star_ci95_high,precision_qso_ci95_low,precision_qso_ci95_high,recall_galaxy_ci95_low,recall_galaxy_ci95_high,recall_star_ci95_low,recall_star_ci95_high,recall_qso_ci95_low,recall_qso_ci95_high,f1_galaxy_ci95_low,f1_galaxy_ci95_high,f1_star_ci95_low,f1_star_ci95_high,f1_qso_ci95_low,f1_qso_ci95_high
F4,Random Forest,Balanced study prior,Original,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.8948,0.8946011962199049,0.894601196219905,0.842408881522827,0.8900290416263311,0.89546783625731,0.8990489399643353,0.9194,0.8574999999999999,0.9075,0.9044761436301034,0.8760727421332243,0.903254702896387,0.8913,0.8981666666666666,0.8911139083323145,0.8979308049669087,0.8911139083323145,0.8979308049669087,0.837149786912465,0.8474529622461843,0.8845738817080135,0.8953788250842765,0.8898631059605662,0.9013979526307908,0.8935265647578298,0.9046814573683513,0.9140974999999999,0.9249025000000001,0.8506974999999999,0.8641,0.9019974999999999,0.9134,0.9003927015270557,0.9083483156262534,0.8713574579672739,0.880572692755883,0.8991428633632391,0.9075240861473698
F4,Random Forest,Balanced study prior,Prior-adjusted,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.8948,0.8946011962199049,0.894601196219905,0.842408881522827,0.8900290416263311,0.89546783625731,0.8990489399643353,0.9194,0.8574999999999999,0.9075,0.9044761436301034,0.8760727421332243,0.903254702896387,0.8910991666666667,0.8981,0.8908925903978718,0.8979046361152695,0.8908925903978717,0.8979046361152694,0.8368572541086277,0.847371525250715,0.8843386377031895,0.8954174905726189,0.8897544335405011,0.9010461625947581,0.8933144694292713,0.9045768699060763,0.9140999999999999,0.9245,0.8505999999999999,0.8640025000000001,0.9017974999999999,0.9129999999999999,0.9003338324831934,0.9085096231218951,0.8709955932756651,0.8807222542981711,0.8988204553652894,0.9073749003380117
F4,Random Forest,Published SDSS DR17 spectroscopic reference,Original,0.3724535025530711,0.34686081192418167,0.28068568552274725,0.8945891560841726,0.8938067512237088,0.8944173519953392,0.8412032488334477,0.9035391364263969,0.9008396647483792,0.8758303575871804,0.9194,0.8575,0.9075000000000001,0.9114005678312677,0.8786357130063112,0.8913839728335479,0.8909707272370988,0.897941213101612,0.8901580171687187,0.8971684753078033,0.8907747595352988,0.8977736640314856,0.8358110041715585,0.8462576049514885,0.8984661050889884,0.9085251404595359,0.8950067719682893,0.9062236800123032,0.8693578632121526,0.8822714108171241,0.9136000000000001,0.9244,0.8505,0.8640999999999999,0.9015,0.9133,0.9073231189050474,0.9151308759567892,0.8737867269160909,0.8832887127494591,0.8867628111499218,0.8959021473697228
F4,Random Forest,Published SDSS DR17 spectroscopic reference,Prior-adjusted,0.3724535025530711,0.34686081192418167,0.28068568552274725,0.8953013742008349,0.8944713115747233,0.895112372869864,0.8420265411875439,0.897524236273785,0.8974040428844269,0.8897759471051022,0.9259999999999999,0.8642,0.893,0.9115397824246323,0.8804890940087405,0.8913850582907971,0.8917402891925834,0.8986914784616714,0.890929172137646,0.8978967926445841,0.891541878022408,0.8985124554866077,0.8366715005329773,0.8470981432303679,0.8926695574639046,0.902569207879706,0.8917740865102796,0.9030289431462847,0.883391058460059,0.8959603590789361,0.9209,0.9314000000000001,0.8575,0.8710999999999999,0.8869,0.8989,0.9078339312563752,0.9153253114131852,0.8758294718842914,0.8851354282931619,0.8867598781731157,0.8959952099896
F7,LightGBM,Balanced study prior,Original,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.9850999999999999,0.9850976671593962,0.9850976671593961,0.9776985488268177,0.9697118694070214,0.9992005596082741,0.986665309446254,0.9860999999999999,0.9999,0.9693,0.97783727502603,0.9995501574448942,0.977905569007264,0.9837,0.9864333333333334,0.983697113167152,0.9864309757800044,0.983697113167152,0.9864309757800045,0.9755924284617363,0.9796925084754978,0.9663657066781983,0.9727757625311193,0.9986018176370718,0.9997000599880025,0.9843241042345278,0.9888661899897855,0.9837999999999999,0.9884,0.9997,1.0,0.9657999999999999,0.9725,0.9757449224610293,0.9798108067485866,0.9992501874531368,0.9998000399920016,0.9758435680258476,0.979919324113775
F7,LightGBM,Balanced study prior,Prior-adjusted,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.9850999999999999,0.9850976671593962,0.9850976671593961,0.9776985488268177,0.9697118694070214,0.9992005596082741,0.986665309446254,0.9860999999999999,0.9999,0.9693,0.97783727502603,0.9995501574448942,0.977905569007264,0.9836666666666667,0.9864008333333334,0.9836642227941089,0.9863997140988241,0.9836642227941089,0.986399714098824,0.9755593385348544,0.9796511708564591,0.9663849067217886,0.9727872366813156,0.9986019572598362,0.9997000899730081,0.9843651645233265,0.9888753374282966,0.9837999999999999,0.9883000000000001,0.9997,1.0,0.9657999999999999,0.9725025,0.9757280952193148,0.979774407057254,0.9992504871833308,0.9998000399920016,0.9757891192022817,0.979813960130802
F7,LightGBM,Published SDSS DR17 spectroscopic reference,Original,0.3724535025530711,0.34686081192418167,0.28068568552274725,0.9861711596877716,0.9856132402153501,0.9861580918815098,0.9791250811983989,0.9769856634556916,0.9991416245320066,0.9823824514629779,0.9861,0.9999000000000001,0.9692999999999999,0.9815216734227883,0.9995206684137337,0.9757973788095285,0.9848682083942697,0.9874889702477693,0.9842511273832134,0.9869798991323075,0.9848506987403443,0.9874798090400085,0.9771663419352055,0.9811113129512871,0.9743590142202668,0.979388686958095,0.9984988093699187,0.9996779364173284,0.9793197264011889,0.9852782448878904,0.9837,0.9884,0.9997,1.0,0.9657,0.9726,0.979804290120576,0.9832681567577,0.9991989134578898,0.9997889558780034,0.9735361554776802,0.9781049935195975
F7,LightGBM,Published SDSS DR17 spectroscopic reference,Prior-adjusted,0.3724535025530711,0.34686081192418167,0.28068568552274725,0.9863816874434981,0.9858221544555715,0.9863636678176451,0.9794612690718166,0.9750841276415927,0.9991416245320066,0.9857904955403128,0.9886999999999999,0.9999000000000001,0.9665999999999999,0.9818448610815871,0.9995206684137337,0.9761009338713938,0.9851263104617065,0.9876493016289446,0.9845112578146712,0.9871431148252653,0.985107275104444,0.9876336030523698,0.9775640739080118,0.9813727694283707,0.9725352648986565,0.9776005350466513,0.9984988093699187,0.9996779686133153,0.9831089253981963,0.9884305632465327,0.9866,0.9907,0.9997,1.0,0.9631000000000001,0.9700000000000001,0.980178480918592,0.9835266036344034,0.9991989134578898,0.999838958376429,0.9738307651123025,0.9783599465519224
