feature_configuration,model,uncertainty_tertile_id,uncertainty_tertile,n,err_r_min,err_r_max,err_r_median,snr_r_median,galaxy_n,star_n,qso_n,accuracy,macro_f1,mcc,auc_macro_ovr,recall_galaxy,recall_star,recall_qso,accuracy_ci95_low,accuracy_ci95_high,macro_f1_ci95_low,macro_f1_ci95_high,mcc_ci95_low,mcc_ci95_high,recall_galaxy_ci95_low,recall_galaxy_ci95_high,recall_star_ci95_low,recall_star_ci95_high,recall_qso_ci95_low,recall_qso_ci95_high
F4,Random Forest,1,Low,10000,0.0005699427,0.01206076,0.006353847,170.878557379391,3219,5700,1081,0.9645,0.953723788683616,0.9365604047864418,0.9952775496758303,0.963963963963964,0.9743859649122807,0.913968547641073,0.9607,0.9679,0.9484224816387534,0.9586128316844571,0.9297677637916675,0.9425782728503481,0.9571295433364398,0.9698741845293569,0.9703508771929824,0.9785964912280701,0.8973172987974098,0.9306197964847364
F7,LightGBM,1,Low,10000,0.0005699427,0.01206076,0.006353847,170.878557379391,3219,5700,1081,0.9942,0.988988827910101,0.9896345035981016,0.9994893328915797,0.993165579372476,0.9998245614035087,0.967622571692877,0.9927975,0.9957,0.9861671288366451,0.9917849878715225,0.9871228314842684,0.9923163197834629,0.9900590245417832,0.9959614787200994,0.9994736842105263,1.0,0.9574468085106383,0.9777983348751156
F4,Random Forest,2,Medium,10000,0.01206206,0.04204095,0.024421695,44.45785676937313,2444,2651,4905,0.8871,0.8784053883925806,0.8209910330236065,0.9749182667382188,0.9120294599018003,0.8132780082987552,0.9145769622833843,0.8806975,0.8931025,0.8715398396042134,0.8849247167746284,0.8107959407091102,0.8304734888331643,0.900163666121113,0.9230769230769231,0.7981893625047152,0.8279894379479442,0.9068297655453619,0.9223241590214067
F7,LightGBM,2,Medium,10000,0.01206206,0.04204095,0.024421695,44.45785676937313,2444,2651,4905,0.9886,0.988427297293086,0.981999384601597,0.9994390985007482,0.9897708674304418,1.0,0.981855249745158,0.9865,0.9905,0.9863022117815224,0.9903532045602107,0.9786857538807477,0.9850029307799351,0.9856792144026186,0.9934533551554828,1.0,1.0,0.9779765545361876,0.9853261977573904
F4,Random Forest,3,High,10000,0.04204278,4.553548,0.068202345,15.91933889531466,4337,1649,4014,0.8328,0.7806164161025877,0.7290180172353226,0.9339925998078016,0.8904772884482361,0.5245603395997575,0.8971101145989039,0.8259,0.8392,0.771198035777689,0.7890793227910533,0.7176938983877785,0.7394412168795796,0.8814848973945123,0.8994696795019599,0.5003032140691328,0.5469981807155853,0.8878861484803189,0.9063278525161933
F7,LightGBM,3,High,10000,0.04204278,4.553548,0.068202345,15.91933889531466,4337,1649,4014,0.9725,0.9779319606944489,0.9560099876066871,0.9957574941393582,0.9787871800783952,1.0,0.9544095665171899,0.9692,0.9756,0.9752672219224837,0.9803995148832344,0.9507345793494792,0.960941333271983,0.974175697486742,0.9829375144108831,1.0,1.0,0.9479322371699054,0.9603886397608371
