feature_configuration,model,uncertainty_tertile_id,uncertainty_tertile,n,err_r_min,err_r_max,err_r_median,snr_r_median,galaxy_n,star_n,qso_n,macro_f1,macro_f1_ci95_low,macro_f1_ci95_high,recall_galaxy,recall_star,recall_qso,recall_star_ci95_low,recall_star_ci95_high
F4,Random Forest,1,Low,10000,0.0005699427,0.01206076,0.006353847,170.878557379391,3219,5700,1081,0.953723788683616,0.9484224816387534,0.9586128316844572,0.963963963963964,0.9743859649122808,0.913968547641073,0.9703508771929824,0.97859649122807
F7,LightGBM,1,Low,10000,0.0005699427,0.01206076,0.006353847,170.878557379391,3219,5700,1081,0.988988827910101,0.9861671288366451,0.9917849878715224,0.993165579372476,0.9998245614035088,0.967622571692877,0.9994736842105264,1.0
F4,Random Forest,2,Medium,10000,0.01206206,0.04204095,0.024421695,44.45785676937313,2444,2651,4905,0.8784053883925806,0.8715398396042134,0.8849247167746284,0.9120294599018004,0.8132780082987552,0.9145769622833844,0.7981893625047152,0.8279894379479442
F7,LightGBM,2,Medium,10000,0.01206206,0.04204095,0.024421695,44.45785676937313,2444,2651,4905,0.988427297293086,0.9863022117815224,0.9903532045602108,0.9897708674304418,1.0,0.981855249745158,1.0,1.0
F4,Random Forest,3,High,10000,0.04204278,4.553548,0.068202345,15.91933889531466,4337,1649,4014,0.7806164161025877,0.771198035777689,0.7890793227910533,0.8904772884482361,0.5245603395997575,0.8971101145989039,0.5003032140691328,0.5469981807155853
F7,LightGBM,3,High,10000,0.04204278,4.553548,0.068202345,15.91933889531466,4337,1649,4014,0.9779319606944488,0.9752672219224836,0.9803995148832344,0.9787871800783952,1.0,0.95440956651719,1.0,1.0
