feature_configuration,model,scenario,decision_rule,galaxy_prior,star_prior,qso_prior,accuracy,accuracy_ci95_low,accuracy_ci95_high,macro_f1,macro_f1_ci95_low,macro_f1_ci95_high,weighted_f1,weighted_f1_ci95_low,weighted_f1_ci95_high
F4,Random Forest,Published SDSS DR17 spectroscopic reference,Original,0.3724535025530711,0.3468608119241816,0.2806856855227472,0.8945891560841726,0.8909707272370988,0.897941213101612,0.8938067512237088,0.8901580171687187,0.8971684753078033,0.8944173519953392,0.8907747595352988,0.8977736640314856
F4,Random Forest,Published SDSS DR17 spectroscopic reference,Prior-adjusted,0.3724535025530711,0.3468608119241816,0.2806856855227472,0.8953013742008349,0.8917402891925834,0.8986914784616714,0.8944713115747233,0.890929172137646,0.8978967926445841,0.895112372869864,0.891541878022408,0.8985124554866077
F7,LightGBM,Published SDSS DR17 spectroscopic reference,Original,0.3724535025530711,0.3468608119241816,0.2806856855227472,0.9861711596877716,0.9848682083942696,0.9874889702477692,0.98561324021535,0.9842511273832134,0.9869798991323075,0.9861580918815098,0.9848506987403444,0.9874798090400084
F7,LightGBM,Published SDSS DR17 spectroscopic reference,Prior-adjusted,0.3724535025530711,0.3468608119241816,0.2806856855227472,0.986381687443498,0.9851263104617064,0.9876493016289446,0.9858221544555716,0.9845112578146712,0.9871431148252652,0.9863636678176452,0.985107275104444,0.9876336030523698
