group,n_total,n_valid_err_r,valid_fraction,r_q25,r_median,r_q75,err_r_q25,err_r_median,err_r_q75,snr_r_q25,snr_r_median,snr_r_q75
ALL,30000,30000,1.0,18.2018825,19.985055,20.90587,0.00851267625,0.024421695,0.0532497,20.389527209388287,44.45785676937313,127.54346412541645
GALAXY,10000,10000,1.0,17.7010875,19.891085,20.8121975,0.0082655225,0.03385104,0.06646806000000001,16.334705834287938,32.073939378204756,131.35724470870903
STAR,10000,10000,1.0,17.3298625,18.741045,20.2908525,0.00547724275,0.0097265515,0.028085415000000002,38.658389571988394,111.62601726037033,198.22678221884385
QSO,10000,10000,1.0,19.862685,20.618904999999998,21.242777500000003,0.01959874,0.034517705,0.057181865,18.987422122166233,31.454472577149794,55.398265787031576
